label,area_filled,axis_major_length,axis_minor_length,feret_diameter_max
25718,277.0,9.94949877854041,6.768078120671787,10.862780491200215
26340,306.0,9.345630302997346,7.502415963960476,10.488088481701515
26558,216.0,11.685362326161348,5.976536171431777,14.071247279470288
26725,159.0,10.335137226163363,5.277461479194104,11.224972160321824
26840,127.0,7.037107404597281,5.893474290010638,7.681145747868608
27043,134.0,8.64400845794184,5.307233859622728,9.643650760992955
27563,162.0,18.301078901966424,4.685538060550517,16.431676725154983
27603,399.0,13.926344381929114,6.628310956634231,14.247806848775006
27805,107.0,6.692880406510422,5.503410331202479,8.306623862918075
27807,141.0,12.246600888887212,4.387213091061604,11.575836902790225
28013,108.0,6.345311148844091,5.611186518253568,7.681145747868608
28095,136.0,7.393861536404585,5.622221120803031,8.18535277187245
28210,102.0,20.360827299842782,3.131534077779022,17.72004514666935
28304,127.0,10.97089033168881,4.701429014966424,13.0
28320,174.0,17.444402499971435,5.798605812457822,16.881943016134134
28376,256.0,11.711045371850082,6.565462123124728,11.704699910719626
28489,127.0,21.171734863438967,5.104230560730284,15.394804318340652
28505,138.0,7.721759395384782,5.553507871728545,8.306623862918075
28695,215.0,9.653241111545979,6.317531000962627,11.180339887498949
28699,172.0,7.910369625606878,5.534674190763547,8.774964387392123
28985,148.0,16.8604360337444,4.003244530321788,18.0
28987,293.0,9.914090712114954,7.446967244201083,10.816653826391969
29129,102.0,6.4583052008402495,5.522003560037256,7.0
29494,103.0,10.953876443199565,3.7987815303574624,10.246950765959598
29542,150.0,7.231548285731495,6.0263970105218725,7.874007874011811
29945,106.0,18.03616231896199,3.3392223213554053,14.866068747318506
30096,122.0,9.523321582294114,6.55776324418483,11.575836902790225
30112,228.0,8.841303586659562,6.388616769730408,9.695359714832659
30298,116.0,11.067182245787079,5.588678244588819,11.180339887498949
30326,12539.0,34.69795488948168,27.622058297817492,42.08325082500163
30581,110.0,6.885226892089758,5.357650602149843,7.615773105863909
30745,297.0,15.56458691820699,6.471882873906371,14.730919862656235
30843,575.0,11.4588283178072,9.458161344630936,12.529964086141668
30941,108.0,6.6632382520575195,5.304915051218258,7.0
30965,123.0,14.05895310894195,4.309260828042716,14.628738838327793
31073,205.0,8.46566197826324,6.499565788767918,9.16515138991168
31211,468.0,12.513084852936618,7.772080592773376,15.165750888103101
31387,129.0,7.928185994729693,5.021616626292476,8.602325267042627
31515,315.0,10.323193441997658,7.043863691317679,10.954451150103322
31869,473.0,16.663932900656125,8.27569226678353,16.673332000533065
32064,270.0,9.669401545427995,6.594602956452308,10.344080432788601
32073,153.0,13.459625929040206,6.05275987368344,13.74772708486752
32292,203.0,12.102348100037494,5.708528245581124,12.569805089976535
32297,120.0,15.717178667470007,5.468151854422823,16.822603841260722
32307,115.0,12.66833640077571,5.6475605630716235,14.0
32348,180.0,8.057039731052742,6.495927759986904,9.273618495495704
32557,215.0,10.90221311366416,6.227889198548885,11.045361017187261
32571,257.0,9.069332968628476,6.812999625398422,9.797958971132712
32581,128.0,16.215153941387925,2.9708160460029878,15.297058540778355
32650,719.0,13.107811331137455,9.466453032168449,14.594519519326424
32893,122.0,15.663384722767658,4.0023143331559865,16.278820596099706
32932,156.0,7.472544934261378,5.967498785687528,8.12403840463596
32947,1023.0,16.0086424981223,10.162177431186226,16.911534525287763
33164,102.0,6.67780741457585,5.405021416318001,7.3484692283495345
