label,area_filled,area_convex,axis_major_length,axis_minor_length,feret_diameter_max
6431,368.0,443.0,10.907262992872397,7.448016371130787,12.68857754044952
6432,2240.0,2627.0,18.107195747110495,14.862122800079305,21.213203435596427
6433,4780.0,6511.0,26.918223228206152,18.043852051221503,28.160255680657446
6434,5080.0,10087.0,76.60097234459907,13.905077810883505,60.93439094632849
6435,565.0,632.0,11.85433592876364,9.522200834147974,13.30413469565007
6437,3903.0,5183.0,22.574179322395402,19.68972469946492,27.367864366808018
6439,229.0,307.0,12.787227805806195,4.958877593392564,13.74772708486752
6441,840.0,978.0,13.379454928470189,10.717076601600064,15.524174696260024
6445,229.0,278.0,9.567065859829274,6.772837674379531,10.63014581273465
6446,933.0,1182.0,15.486750471073284,10.196269841985748,20.445048300260872
6450,832.0,956.0,13.937870172251392,9.516678354497595,15.362291495737216
6452,1115.0,2068.0,39.61592398037721,8.905340887462321,31.796226191169293
6453,150.0,190.0,8.655981151010835,4.61719102673041,9.539392014169456
6456,242.0,278.0,10.152661898033974,6.4791177887576,11.874342087037917
6457,108.0,121.0,6.579008306663944,5.4107412976105955,7.0
6458,236.0,284.0,10.001270107556822,5.703442864183558,11.357816691600547
6459,400.0,468.0,10.828228167752938,8.366494476364958,13.152946437965905
6460,46315.0,68061.0,52.634178630477635,46.56661194665284,70.74602462329597
6464,506.0,793.0,15.927344302446585,6.975750402623838,16.55294535724685
6466,427.0,505.0,11.148414343921914,8.149965734626369,12.806248474865697
6469,421.0,493.0,11.317744017026422,8.362846044075374,12.727922061357855
6471,483.0,568.0,11.355764733297748,8.542178375617146,12.529964086141668
6472,516.0,610.0,11.429645911667047,8.946807619323495,13.674794331177344
6473,344.0,410.0,10.798132592163206,7.560197414014448,12.649110640673518
6474,116.0,140.0,7.234906773610675,5.549979200789082,7.874007874011811
6476,387.0,751.0,24.383444853746205,5.172043389271683,19.467922333931785
6477,222.0,294.0,9.553755559755977,6.640210053583015,11.74734012447073
6478,139.0,302.0,18.735141658008,4.738903912231862,15.905973720586866
6479,161.0,198.0,9.557291736689995,5.146797623422137,10.392304845413264
6482,143.0,189.0,10.254037765778113,4.781501320317082,10.488088481701515
6483,181.0,226.0,9.767648000430752,5.477427674832305,11.180339887498949
6484,439.0,541.0,12.548187336787562,7.967041062841944,14.352700094407323
6485,295.0,369.0,10.956905874423505,7.078118756047509,12.409673645990857
6488,161.0,188.0,8.5518103857218,6.023112752693401,9.273618495495704
6489,145.0,168.0,8.04698866632278,5.654331702649855,9.0
6492,596.0,689.0,12.01554139666609,9.442853655891607,14.071247279470288
6493,249.0,290.0,9.136528810986144,6.984502928412482,10.392304845413264
6494,210.0,265.0,8.428795527847507,6.937735878308209,10.344080432788601
6497,201.0,237.0,11.354204074979972,5.256735301395266,12.12435565298214
6498,1297.0,2071.0,20.090269827164505,10.548612924689655,20.71231517720798
6499,454.0,536.0,10.65705080752944,8.811297002784908,12.041594578792296
6500,152.0,181.0,8.868106046301971,5.5334543524950615,9.433981132056603
6501,295.0,387.0,11.731040627249449,5.7012749621188545,13.076696830622021
6502,2426.0,2791.0,18.06377926079598,15.989390888674336,20.46948949045872
6503,827.0,957.0,13.932105569764229,9.940948919706083,15.0
6504,7109.0,16144.0,39.082725515370306,24.784587866498626,48.14561246884289
6505,660.0,775.0,12.353533947166042,9.717411571694985,13.341664064126334
6508,550.0,709.0,12.285855067404158,8.274655149347872,13.601470508735444
6510,619.0,731.0,12.178004116013181,9.664763215559109,13.490737563232042
6512,157.0,190.0,8.898454079389738,5.321284509899976,9.539392014169456
6513,1665.0,1926.0,16.24729507605266,13.57604011240854,19.6468827043885
6519,332.0,403.0,10.910367984310819,7.178363539880626,12.409673645990857
6521,440.0,705.0,16.567955098572835,7.093135424250021,18.466185312619388
6524,240.0,721.0,18.334578509699597,6.764463102407503,15.524174696260024
6525,218.0,404.0,16.119732271298293,3.5171141940084585,15.937377450509228
6526,256.0,292.0,9.787059753702993,6.952902985810994,11.224972160321824
6528,410.0,467.0,11.26830026668721,7.477805152133311,12.727922061357855
6530,195.0,236.0,7.810911715620921,6.905940961221258,9.433981132056603
6531,684.0,803.0,12.214107109095245,10.126985305344869,13.74772708486752
6534,105.0,197.0,10.235221750371768,4.396963889075457,10.63014581273465
6536,304.0,361.0,10.42902210111105,7.572913097259966,11.874342087037917
6538,304.0,356.0,10.662305834327942,6.657531008278537,12.409673645990857
6539,281.0,354.0,10.585930616851911,6.409468464019968,13.45362404707371
6541,1292.0,2594.0,34.67329323958264,10.437320027230998,30.512292604784715
6543,239.0,284.0,8.569098003023136,6.993765178074506,9.695359714832659
6544,318.0,500.0,20.959783064245503,5.161590381046808,17.4928556845359
6546,235.0,280.0,8.94843981660953,6.757013038838995,10.04987562112089
6549,317.0,383.0,9.425725628535137,8.054612300673377,10.862780491200215
6550,1136.0,1302.0,14.870986575276898,11.715390155931283,17.204650534085253
6552,367.0,435.0,10.87596538974606,7.679459119943171,13.601470508735444
6553,6564.0,10429.0,36.27422575655749,20.343905478427107,41.66533331199932
6554,213.0,261.0,9.356127117024778,5.675011693969218,10.295630140987
6561,3152.0,4677.0,26.77698419309217,18.007447700677744,25.942243542145693
6562,161.0,197.0,8.368212572467488,5.592498498880401,9.539392014169456
6566,353.0,442.0,11.751958320585382,5.87444368139947,13.341664064126334
6567,121.0,154.0,8.356108309158182,4.677524574141856,9.1104335791443
6568,774.0,1022.0,19.67633000805712,8.093961794609738,19.82422760159901
6571,392.0,461.0,11.640250142206725,7.542849967488035,12.806248474865697
6576,519.0,698.0,14.18518801628852,7.790984710671671,18.2208671582886
6577,7398.0,12364.0,66.47137616849244,16.502203382299005,54.30469592954186
6578,620.0,757.0,12.504103679069567,9.595515105081354,15.556349186104045
